Id_Basol	Extracted_institution	BASOL_institution	Basias_institution
77.0078	{'Les Etablissements BRUN', 'les services de la Préfecture', "commerciales , la SCI d' Ecuelles", 'la Société'}	{"Scierie d'Ecuelles"}	{"Scierie d'Ecuelles"}
77.0140	{'le Tribunal de Commerce de Meaux', 'la société NOUVELLE BROCHURE', 'La société BRODARD GRAPHIQUE', 'la Société BRODARD GRAPHIQUE', 'BRODARD GRAPHIQUE', 'groupe MAURY'}	{'Brodard Graphique'}	{'Brodard Graphique (Imprimerie)'}
93.0016	{'Stade de France', 'Gaz de France', "le Ministère de l' Environnement"}	{'ANCIENNE USINE A GAZ DU CORNILLON'}	{"GDF - GAZ DE FRANCE . SA du GAZ de PARIS . Cie PARISIENNE d'ECLAIRAGE et de CHAUFFAGE par le GAZ"}
92.0009	{"L' ESR"}	{'SOCIETE DES LUBRIFIANTS DE NANTERRE'}	{'FINA LUBRIFIANTS', 'SHELL Lubrifiants (Société des pétroles), anc. SHELL-BERRE (Compagnie de raffinage)'}
78.0100	{'le Préfet', 'le préfet', 'la société Turbomeca', 'préfet'}	{'TURBOMECA'}	{'TURBOMECA (SOCIETE)'}
91.0051	{'la compagnie française des Ferrailles', 'Fradena', 'Revival DERICHBOURG', 'La société Revival'}	{'REVIVAL DERICHEBOURG (ex CFF Recycling, ex FRADENA)'}	{'FRADENA, ex TAPIAU et Cie, ex ROL, ex LISTER et Cie, ex ACAM, ex CASSE AUTO, ex T2N, ex FRANCAISE DES FERRAILLES, ex AFFICUIVRE, ex APROMETAL, ex PULFER'}
93.0056	{'SCI TOGETHER', '( Altarea Cogedim', 'la compagnie des freins et signaux Westinghouse', 'la société SAB-WABCO', 'SETIMO', 'La société Westinghouse', 'Shurgard', 'Faiveley', 'le site Shurgard', "La cour administrative d' appel de Versailles", 'la SCI les Chênes', 'FAIVELEY TRANSPORT AMIENS', 'ICF la sablière', 'SCI GDLMA', 'la société Sab', 'SAB-WABCO', '( GP2', 'parcelle SHURGARD', 'SABWABCO', 'Le tribunal administratif de Montreuil'}	{'FAIVELEY (ex SAB WABCO)'}	{'SAB WABCO SA . Cie des FREINS DE WESTINGHOUSE'}
77.0037	{'la DRIRE', 'Gaz de France', 'des entreprises EDF', "le Ministère de l' Environnement"}	{'Installation technique de Gaz de France'}	{'Electricité de France - Gaz de France (EDF-GDF)'}
92.0016	{'La société LASSAILLY', 'BICHEBOIS', 'SCR', 'La société chimique de la route', 'Elf lubrifiant', 'la SEM92', 'la société', 'le Société Chimique de la Route'}	{'ZAC DES BORDS DE SEINE (SEM92)'}	{'Route (Société Chimique de la), anc. Lassailly-Bichebois (Société)'}
77.0104	{'SILEC', 'La société SAGEM'}	{'SILEC CABLE ( ex: SAGEM)'}	{'SILEC (Ste Industrielle de Liaisons Electriques)', 'SILEC (Sté Industrielle de liaisons électriques)', 'SAGEM, Ex. Société Industrielle de Liaisons Electriques (SILEC)', 'SILEC Cable, ex. SAGEM, ex. SILEC (Société Industrielle de Liaisons Electriques)'}
